"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","3/9/2020",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/10/2020",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Erev Pesach","4/8/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/9/2020",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/10/2020",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/11/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/12/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/13/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/14/2020",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/15/2020",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/16/2020",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","5/28/2020",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/29/2020",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/30/2020",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","7/29/2020",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/30/2020",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/18/2020",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5781","9/19/2020",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/20/2020",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/27/2020",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/28/2020",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/2/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/3/2020",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/4/2020",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/5/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/6/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/7/2020",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
