"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-01","14.76",",,W"," 1342",",,X","0.40",",,0,2400","0.0",",,0","0.0",",,0",,,"52",",,0","45",",,0","28.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-02","11.63",",,W"," 1225",",,X","0.06",",,0,2400","0.0",",,0","0.0",",,0",,,"47",",,0","43",",,0","19.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-03","5.14",",,W"," 2249",",,X","0.03",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","39",",,0","10.1",",,X","    1",",,W","    1",",,W",,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-04","8.28",",,W"," 2350",",,X","0.98",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","44",",,0","16.1",",,Z","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-05","7.61",",,W"," 2251",",,X","0.14",",,0,2400","0.0",",,0","0.0",",,0",,,"50",",,0","44",",,0","15.0",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0",,,,,"    1",",,0",,,,,"    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-06","11.41",",,W"," 2348",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"50",",,0","42",",,0","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-07","12.53",",,W"," 1107",",,X","0.04",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","40",",,0","23.0",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-08","10.07",",,W"," 0922",",,X","0.81",",,0,2400","0.0",",,0","0.0",",,0",,,"46",",,0","39",",,0","21.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-09","6.04",",,W"," 2359",",,X","0.08",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","43",",,0","13.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-10","8.28",",,W"," 1748",",,X","0.09",",,0,2400","0.0",",,0","0.0",",,0",,,"55",",,0","44",",,0","17.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-11","6.71",",,W"," 1001",",,X","1.07",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","45",",,0","17.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-12","7.38",",,W"," 0344",",,X","0.53",",,0,2400","0.0",",,0","0.0",",,0",,,"53",",,0","47",",,0","15.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-13","10.51",",,W"," 2024",",,X","0.27",",,0,2400","0.0",",,0","0.0",",,0",,,"56",",,0","46",",,0","25.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-14","7.61",",,W"," 0006",",,X","0.28",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","45",",,0","19.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
