,year,Week,Day,Date,,,,OT,Rec,,Opp
0,2010,1,Sun,September 12,4:16PM ET,boxscore,W,,1-0,,San Francisco 49ers
1,2010,2,Sun,September 19,4:06PM ET,boxscore,L,,1-1,@,Denver Broncos
2,2010,3,Sun,September 26,4:16PM ET,boxscore,W,,2-1,,San Diego Chargers
3,2010,4,Sun,October 3,1:00PM ET,boxscore,L,,2-2,@,St. Louis Rams
4,2010,5,,,,,,,,,Bye Week
5,2010,6,Sun,October 17,1:02PM ET,boxscore,W,,3-2,@,Chicago Bears
6,2010,7,Sun,October 24,4:06PM ET,boxscore,W,,4-2,,Arizona Cardinals
7,2010,8,Sun,October 31,4:15PM ET,boxscore,L,,4-3,@,Oakland Raiders
8,2010,9,Sun,November 7,4:05PM ET,boxscore,L,,4-4,,New York Giants
9,2010,10,Sun,November 14,4:15PM ET,boxscore,W,,5-4,@,Arizona Cardinals
10,2010,11,Sun,November 21,4:05PM ET,boxscore,L,,5-5,@,New Orleans Saints
11,2010,12,Sun,November 28,4:06PM ET,boxscore,L,,5-6,,Kansas City Chiefs
12,2010,13,Sun,December 5,4:16PM ET,boxscore,W,,6-6,,Carolina Panthers
13,2010,14,Sun,December 12,4:05PM ET,boxscore,L,,6-7,@,San Francisco 49ers
14,2010,15,Sun,December 19,4:06PM ET,boxscore,L,,6-8,,Atlanta Falcons
15,2010,16,Sun,December 26,4:16PM ET,boxscore,L,,6-9,@,Tampa Bay Buccaneers
16,2010,17,Sun,January 2,8:31PM ET,boxscore,W,,7-9,,St. Louis Rams
17,2010,,,Playoffs,,,,,,,
18,2010,Wild Card,Sat,January 8,4:35PM ET,boxscore,W,,8-9,,New Orleans Saints
19,2010,Division,Sun,January 16,1:05PM ET,boxscore,L,,8-10,@,Chicago Bears
0,2011,1,Sun,September 11,4:22PM ET,boxscore,L,,0-1,@,San Francisco 49ers
1,2011,2,Sun,September 18,1:02PM ET,boxscore,L,,0-2,@,Pittsburgh Steelers
2,2011,3,Sun,September 25,4:15PM ET,boxscore,W,,1-2,,Arizona Cardinals
3,2011,4,Sun,October 2,4:05PM ET,boxscore,L,,1-3,,Atlanta Falcons
4,2011,5,Sun,October 9,1:04PM ET,boxscore,W,,2-3,@,New York Giants
5,2011,6,,,,,,,,,Bye Week
6,2011,7,Sun,October 23,1:05PM ET,boxscore,L,,2-4,@,Cleveland Browns
7,2011,8,Sun,October 30,4:16PM ET,boxscore,L,,2-5,,Cincinnati Bengals
8,2011,9,Sun,November 6,1:02PM ET,boxscore,L,,2-6,@,Dallas Cowboys
9,2011,10,Sun,November 13,4:06PM ET,boxscore,W,,3-6,,Baltimore Ravens
10,2011,11,Sun,November 20,4:05PM ET,boxscore,W,,4-6,@,St. Louis Rams
11,2011,12,Sun,November 27,4:07PM ET,boxscore,L,,4-7,,Washington Redskins
12,2011,13,Thu,December 1,8:29PM ET,boxscore,W,,5-7,,Philadelphia Eagles
13,2011,14,Mon,December 12,8:40PM ET,boxscore,W,,6-7,,St. Louis Rams
14,2011,15,Sun,December 18,1:03PM ET,boxscore,W,,7-7,@,Chicago Bears
15,2011,16,Sat,December 24,4:16PM ET,boxscore,L,,7-8,,San Francisco 49ers
16,2011,17,Sun,January 1,4:15PM ET,boxscore,L,OT,7-9,@,Arizona Cardinals
0,2012,1,Sun,September 9,4:25PM ET,boxscore,L,,0-1,@,Arizona Cardinals
1,2012,2,Sun,September 16,4:06PM ET,boxscore,W,,1-1,,Dallas Cowboys
2,2012,3,Mon,September 24,8:41PM ET,boxscore,W,,2-1,,Green Bay Packers
3,2012,4,Sun,September 30,1:00PM ET,boxscore,L,,2-2,@,St. Louis Rams
4,2012,5,Sun,October 7,4:04PM ET,boxscore,W,,3-2,@,Carolina Panthers
5,2012,6,Sun,October 14,4:04PM ET,boxscore,W,,4-2,,New England Patriots
6,2012,7,Thu,October 18,8:29PM ET,boxscore,L,,4-3,@,San Francisco 49ers
7,2012,8,Sun,October 28,1:03PM ET,boxscore,L,,4-4,@,Detroit Lions
8,2012,9,Sun,November 4,4:06PM ET,boxscore,W,,5-4,,Minnesota Vikings
9,2012,10,Sun,November 11,4:06PM ET,boxscore,W,,6-4,,New York Jets
10,2012,11,,,,,,,,,Bye Week
11,2012,12,Sun,November 25,1:03PM ET,boxscore,L,,6-5,@,Miami Dolphins
